"manu_id","manufacturer_name"
1,"name"
2,"Hornby"
3,"ccf"
4,"Bachmann"
5,"Kato"
6,"Preiser"
7,"Takara Tomy"
8,"Faller"
9,"Dapol"
10,"Corgi"
11,"Gaugemaster"
12,"Roco"
13,"CATO"
14,"Train"
15,"Piko"
16,"Märklin my world"
17,"Mattel"
18,"Generic"
19,"Power Trains"
20,"Carousel"
21,"Walthers Trainline"
22,"Woodland Scenics"
23,"Ratio"
24,"RAILWAY - BACHMANN"
25,"Peco"
26,"ARSUK"
27,"Fisher Price"
28,"Plan Toys"
29,"Bandai"
30,"Viessmann"
31,"Tommy Tech"
32,"Model Power"
33,"Micki Leksaker"
34,"Busch"
35,"Märklin"
36,"Bigjigs Rail"
37,"Trains"
38,"Marvel"
39,"Star Wars"
40,"ukgiftstoreonline"
41,"Yoo Hoo"
42,"Minnie Mouse  Mad about Minnie"
43,"Disney"
44,"Dempsey Designs Minicraft"
45,"Mickey Mouse"
46,"Pokémon"
47,"Pintoy"
48,"Poly Dice Sets"
49,"Q-Workshop"
50,"Chessex"
51,"The Dice Place"
52,"Forlorn Hope Games"
53,"Bicycle"
54,"8"
55,"Learning Resources"
56,"Witzigs"
57,"Bigjigs Toys"
58,"Rory's Story Cubes"
59,"WHATWEARS"
60,"MY"
61,"Unbeatable Games"
62,"Drumond Park"
63,"The Creativity Hub"
64,"Backspindle Games"
65,"Steve Jackson Games"
66,"GRAHAM'S GAMES"
67,"Amscan"
68,"Left Center Right"
69,"Patch Products Inc."
70,"Tarquin Group"
71,"Bristol Novelties"
72,"Kent & Cleal"
73,"Galt Toys"
74,"Rio Grande Games"
75,"Koplow Games"
76,"David Westnedge Games"
77,"Rory Story Cubes"
78,"Bulk Dice"
79,"Evil Hat Productions"
80,"Jaques of London"
81,"ShalinIndia"
82,"Dude Dice"
83,"Schmidt"
84,"University Games"
85,"Renegade Game Studios"
86,"Re:creation Group Plc"
87,"West5Products"
88,"David Westnedge"
89,"Tenzi"
90,"Think Fun"
91,"Polyhedral"
92,"George"
93,"Unknown"
94,"KMC"
95,"Masters"
96,"Rockets Toys"
97,"BigCherry"
98,"Slammer"
99,"Paul Lamond Games"
100,"Kinetic Sand"
101,"Fuzzy Felt"
102,"Magic Sand"
103,"LEGO"
104,"Cra-Z-Sand"
105,"Muppets"
106,"Motion Sand"
107,"Melissa & Doug"
108,"Barbie"
109,"Baker Ross"
110,"John Adams"
111,"Playmobil"
112,"Great Gizmos"
113,"MTS"
114,"Markwins International"
115,"Spin Master"
116,"Djeco"
117,"Disney Frozen"
118,"KandyToys"
119,"Character Options"
120,"Tobar"
121,"Hot Wheels"
122,"AMT"
123,"Forces Of Valor"
124,"Oxford Diecast"
125,"Universal Hobbies"
126,"Minichamps"
127,"universal hobby"
128,"Morris & Co"
129,"ixo"
130,"Hennessey"
131,"Ford"
132,"Greenlight"
133,"AUTOart"
134,"Siku"
135,"New Ray"
136,"Unbekannt"
137,"Coca-Cola"
138,"Bburago"
139,"Britains Big Farm"
140,"Riley"
141,"Aston Martin"
142,"Tamiya"
143,"Maisto"
144,"TAYO"
145,"Set"
146,"Alpine"
147,"Audi"
148,"Captain Scarlet"
149,"M & D International"
150,"Brio"
151,"Classix"
152,"Miniart"
153,"TRI-ANG"
154,"Fast and Furious"
155,"Oxford"
156,"Airfix"
157,"cararama"
158,"Welly"
159,"Honda"
160,"Revell-Monogram"
161,"Chevrolet"
162,"joe bar"
163,"Sieper GmbH"
164,"Supreme Models Online"
165,"Matchbox 1-75"
166,"Fujimi"
167,"Schleich"
168,"Diamond Select"
169,"Hasbro"
170,"Games Workshop"
171,"Nickelodeon"
172,"Kaiyodo"
173,"POP! Vinyl"
174,"FunKo"
175,"Astro Boy"
176,"Turtles"
177,"Wing"
178,"Thinkway Toys"
179,"NECA"
180,"Transformers"
181,"DC Comics"
182,"Star images"
183,"Hot Toys"
184,"Good Smile Company"
185,"Thundercats"
186,"Eye On Asia"
187,"Tomy"
188,"DC Universe Classics"
189,"Banpresto"
190,"Dr Who"
191,"Medicos"
192,"Teenage Mutant Ninja Turtles"
193,"Fabrikations"
194,"Star Trek"
195,"Freeing"
196,"Art Asylum"
197,"Moshi: Rox Tin"
198,"Super Wings"
199,"MISSING"
200,"GET RETRO"
201,"Plastoy"
202,"Vivid"
203,"Green Lantern"
204,"Star Cutouts Ltd"
205,"Octonauts"
206,"Wacky Wobbler"
207,"The Hobbit"
208,"Living Dead Dolls"
209,"Bullyland"
210,"Harry Potter"
211,"Warhammer"
212,"Halo"
213,"X-Wing Miniatures Game"
214,"The Adventures of Batman & Robin"
215,"Men in Black"
216,"Fantasy Flight Games"
217,"The Walking Dead"
218,"Master Replicas LLC."
219,"myStyle"
220,"Alex"
221,"MajorCrafts"
222,"Hama"
223,"HaSaH"
224,"Fashion Lights"
225,"tinkertonk"
226,"Hama Beads"
227,"KSG"
228,"Loom"
229,"Jacks"
230,"Rainbow Loom"
231,"Perler"
232,"Hape International"
233,"k2-accessories Alphabet Letter Beads"
234,"Viskey"
235,"k2-accessories Jewellery Findings"
236,"SE"
237,"Ateamart"
238,"Just Say Beads"
239,"SES Creative"
240,"DAN Import"
241,"Toyland"
242,"Beado's"
243,"Sequin Art Hello Kitty Gothic Design"
244,"Sequin Art Style Karoake"
245,"ZAP - Z"
246,"Amazing child Montessori"
247,"Flair"
248,"h grossman"
249,"ETHAHE"
250,"DKL"
251,"Sequin Art"
252,"TreasureTrove Toys"
253,"Lyndie's Craft"
254,"Fashion Angels"
255,"Indigo"
256,"Millhouse"
257,"GOGO"
258,"Tidlo"
259,"Friendship Loom"
260,"Creativity International"
261,"Be Creative"
262,"Craft Planet"
263,"TREND ENTERPRISES INC."
264,"Anker"
265,"Schipper"
266,"Alligator"
267,"Colour Talk"
268,"Anthony Peters"
269,"The Original Glowstars"
270,"NPW"
271,"Disney Princess"
272,"Animewild"
273,"Moshi Monsters"
274,"Paper Projects"
275,"Cake Supplies"
276,"Craft"
277,"HuntGold"
278,"Kids Create"
279,"Monster High"
280,"Peterkin"
281,"Decopatch"
282,"Anita's"
283,"Reeves"
284,"RCL Toys"
285,"Woodware Craft Collection Ltd"
286,"JINX"
287,"Fun Express"
288,"Scoot"
289,"Ark"
290,"Vilac"
291,"Unique Party"
292,"The Sticker Factory"
293,"Scribbledown"
294,"Little Pals"
295,"TheWorks"
296,"Crafters Companion"
297,"Stickers"
298,"Fun Stickers"
299,"Hardley Dangerous"
300,"Purple Peach"
301,"4M"
302,"Le Toy Van"
303,"Tallon"
304,"Partyrama"
305,"Noris Spiele"
306,"Me & My Big Ideas"
307,"Alligator Books"
308,"Woodandtots"
309,"My Little Pony"
310,"Die'sire"
311,"Grafix"
312,"Playbox"
313,"Noris"
314,"Peppa Pig"
315,"Mammut"
316,"Stephens"
317,"Xcut"
318,"Past Times Quilling"
319,"Toymaster"
320,"Intex"
321,"Aquaplay"
322,"Scrunch Buckets"
323,"No"
324,"mondo"
325,"Pams"
326,"Henbrant"
327,"Trade Mark Collections"
328,"KT"
329,"Benross"
330,"Bestway"
331,"BML"
332,"E-Bargains"
333,"Toyrific"
334,"BIG"
335,"Swimways"
336,"Pro Swim GmbH"
337,"Konfi-store"
338,"Halsall"
339,"BIGMOUTHINC."
340,"Angry Birds"
341,"Toy Brokers"
342,"theinthing.com"
343,"Grids"
344,"BIG Toys"
345,"esto24"
346,"A B Gee"
347,"Downtown"
348,"Aqua Noodle"
349,"Wilton Bradley"
350,"Konfidence"
351,"Swimming and Pool Games"
352,"Big Mouth Toys"
