rid,pid,score,info
1,1,4," Part of the magic for me growing up as a boy was to buy (or be given) the new Hornby catalogue every year& even if it included 90% of the same products as the previous year.  I've still got my old ones dating back to the 70s and 80s somewhere.  These days the catalogue is especially informative in that it tells you the vintage of the rolling stock which is useful if you are dedicating your railway to one particular era and train company. "
2,1,5," Amazing detail& every credit to the photographer in this book& a worthy reference manual& as well as a sales brochure. even if you only have a passing interest in the hobby you will be transported to another time when we were all younger and in awe of the big trains."
3,1,5," This was purchased on behalf of my Dad. He is always asking me to look up 00 gauge engines online& so this has been a good buy as he can look at it anytime. Would definitely buy the next one 2015!It arrived quickly and in perfect condition :-)"
4,1,5," Everything I really needed to see what was on offer from Hornby in the way of trains.  Would not have minded it included an RRP as well though"
5,1,5," I collect them all as the glossy pictures are great and it is nice that you can still get catalogs to collect."
6,1,5," What a great book.  Extremely useful insight to all future christmas presents."
7,1,5," Useful info for someonelike me starting back into the hobby after many years"
8,1,5," A well produced very good quality catalogue.Super quality pictures."
9,2,5," Simple"
10,2,5," Excellent product everybody should have one or to of product  excellent  100 percent ok speedy delivery excellent i give it five stars CLASSIC TOY TRAIN SET TRACK CARRIAGES LIGHT ENGINE BOXED BOYS KIDS BATTERYdouble aa battery goes in top of engine"
11,2,5," I was extremely pleased with the train set really good value for money."
12,2,1," i found this item& not suitable for young children&  very difficult to keep the carriages together and the whole thing kept coming off the track.All very thin plastic. I would not recommend this item."
13,2,1," The Train did not work  and as it was a present for my young nephew for Christmas I was very disappointed but as it was only Â£7 it was not worth the fuss of ordering another"
14,2,4," Better than expected. It has a proper oval of track rather than just a circle. My 2 year old grandsn loves it although he finds it difficult to put on the track."
15,2,5," Brilliant little train.  Bought for my son who was looking for a train that looks like the polar express - he was not disappointed.  Great value."
16,2,3," train carriages kept falling track  of and the connectors not good. better on the floor"
17,3,5," This has gone down very well this Christmas. Adults and kids collectively enjoy its appearance from around the Christmas tree.Whilst I use this as effectively a Christmas tree decoration it is nevertheless a quality Hornby OO gauge model in its own right& and could be used year round for a modelling enthusiast.A word of warning would be that the model is delicate and intricate. If you have cats for example they are sure to damage the delicate parts as they seek to derail the train from the track."
18,3,5," My 1st Hornby& and I absolutely love it. It will look amazing under my Christmas Tree this year too. Takes minutes to set up& and works great. Smooth& quiet and fantastic."
19,3,5," Excellent value for money and fits around the base of most Christmas trees. My little boy loved it!!"
